sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
001-Bookmine-Amaz-8.7.24-Jim-535	X004CKSVSX	0470673648	Movies and American Society	UsedGood	59.99	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
001-DeseretIndust-5.25.24-Jim-047	X004970SHL	1631063073	Sally's Cookie Addiction: Irresistible Cookies, Cookie Bars, Shortbread, and More from the Creator of Sally's Baking Addiction (Volume 3) (Sally's Baking Addiction, 3)	UsedGood	20.69	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
001-DeseretIndust-6.1.24-Jim-559	X0049I3CLT	0794826490	Brigham Young University Football Vault: The History of the Cougars	UsedVeryGood	39.75	No		Yes	2	2	0	0	2	0.14	0	0	0	0	0	0
001-DeseretIndust-6.12.24-Jim-665	X004A08DO7	1587676109	Gwendy's Button Box	UsedGood	17.71	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
001-DeseretIndust-6.13.24-Jim-722	X004A2UMD5	B003AO75AQ	The Work And The Glory Gerald Lund 9 Volume Hardcover Set Vol 1. Pillar of Light 2. Like a Fire is Burning 3. Truth will Prevail 4. Thy Gold To Refine 5. A seson of Joy 6. Praise The Man 7. No Unhallowed Hand 8. So Great a Cause 9. All is Well (The Work And The Glory, Complete 9 Volume set)	UsedGood	68.55	No		Yes	0	0	0	0	0	0.91	0	0	0	0	0	0
001-DeseretIndust-6.19.24-Jim-444	X004ADPW2Z	0486238253	Travels in Arabia Deserta, Vol. 1	UsedAcceptable	14.09	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
001-DeseretIndust-6.26.24-Jim-025	X004AU181H	0794543790	1000 Animals revised	UsedGood	24.12	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
001-DeseretIndust-6.4.24-Jim-883	X0049M8BKR	B0019T5H4K	New Standard Reference Bible Blue Ribbon Edition: (Authorized or King James Version) School and Library Reference Edition Red Letter Edition Pictorial Pronouncing Dictionary and other Interesting Instructive Features	UsedGood	48.00	No		Yes	1	1	0	0	1	0.17	0	0	0	0	0	0
001-DeseretIndust-7.12.24-Jim-462	X004BHYGYF	032306969X	Rosai and Ackerman's Surgical Pathology: Expert Consult: Online and Print, 10e (Surgical Pathology (Ackerman's)) - 2 Volume Set	UsedGood	84.47	No		Yes	1	1	0	0	1	0.61	0	0	0	0	0	0
001-DeseretIndust-7.25.24-Jim-859	X004C26NJP	B000PHBWT6	Children of the Promise, volume 1,2,3,4,5. Rumors of War, Since You Went Away, Far from Home, When We Meet Again, As Long As I Have You [5 volume set]	UsedGood	54.90	No		Yes	0	0	0	0	3	0.28	3	0	0	0	0	0
001-DeseretIndust-8.19.24-Jim-672	X004D4JROP	1629727091	Witness for His Names	UsedVeryGood	7.44	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
001-NPS-5.21.24-Jim-382	X00490QMFZ	0891414908	Saving the Breakout: The 30th Division's Heroic Stand at Mortain, August 7-12, 1944	UsedAcceptable	17.98	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
001-NPSAuction-5.28.24-Jim-364	X0049B6Q1J	1259948889	Intermediate Algebra Fifth Edition Annotated Instructor's Edition 2018	UsedGood	139.84	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
001-NPSAuction-8.29.24-Jim-781	X004DN6HT9	1319195369	American Government: Stories of a Nation: For the AP Course	UsedVeryGood	121.74	No		Yes	6	0	0	6	6	0.05	0	0	0	0	0	0
002-Bookmine-Amaz-8.7.24-Jim-416	X004CL2ZQV	0470673648	Movies and American Society	UsedGood	59.99	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
002-DeseretIndust-5.25.24-Jim-753	X004970SIF	1589237919	The Complete Photo Guide to Candy Making: All You Need to Know to Make All Types of Candy - The Essential Reference for Beginners to Skilled Candy ... Caramels, Truffles Mints, Marshmallows & More	UsedGood	15.00	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
002-DeseretIndust-6.12.24-Jim-040	X004A08B53	0806540389	Three Ordinary Girls: The Remarkable Story of Three Dutch Teenagers Who Became Spies, Saboteurs, Nazi Assassins--and WWII Heroes	UsedGood	16.89	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
002-DeseretIndust-6.19.24-Jim-012	X004ADJXAR	1629727784	Spirit: The Gift That Connects You to Heaven	UsedGood	13.64	No		Yes	1	1	0	0	1	0.01	0	0	0	0	0	0
002-DeseretIndust-6.26.24-Jim-122	X004AU1AVF	1118073746	Basketball For Dummies	UsedGood	12.78	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
002-DeseretIndust-6.4.24-Jim-854	X0049M8C8X	B0019T5H4K	New Standard Reference Bible Blue Ribbon Edition: (Authorized or King James Version) School and Library Reference Edition Red Letter Edition Pictorial Pronouncing Dictionary and other Interesting Instructive Features	UsedAcceptable	48.00	No		Yes	1	1	0	0	1	0.17	0	0	0	0	0	0
002-DeseretIndust-7.12.24-Jim-925	X004BHQSBT	0197608280	World in the Making: Volume One to 1500	UsedGood	48.10	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
002-DeseretIndust-7.25.24-Jim-066	X004C26Q1F	1465466622	Thomas & Friends Character Encyclopedia	UsedAcceptable	59.93	No		Yes	0	0	0	0	3	0.05	3	0	0	0	0	0
002-NPS-5.21.24-Jim-527	X00490P9XV	1982151390	Class: A Memoir of Motherhood, Hunger, and Higher Education	UsedGood	9.97	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
002-NPS-6.1.24-Jim-842	X0049I6WTN	B0B48MF6CF	Idaho Real Estate Handbook 7th Edition	UsedAcceptable	45.98	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
002-NPSAuction-5.28.24-Jim-494	X0049B6ZBP	0133323064	Texas History Teachers Edition	UsedVeryGood	119.00	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
002-Thrift-5.20.24-Jim-772	X0048YS4GH	0671793527	I Promised My Dad: An Intimate Portrait of Michael Landon	UsedGood	6.98	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
003-DeseretIndust-5.25.24-Jim-780	X004970SIP	1598118552	Cooking with Food Storage Made Easy	UsedGood	21.73	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
003-DeseretIndust-6.12.24-Jim-710	X0049ZZLHZ	0873497511	Warman's Fiesta Ware: Identification and Price Guide	UsedGood	21.98	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
003-DeseretIndust-6.26.24-Jim-569	X004AU386Z	1668024527	The Glucose Goddess Method: The 4-Week Guide to Cutting Cravings, Getting Your Energy Back, and Feeling Amazing	UsedGood	13.77	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
003-DeseretIndust-6.4.24-Jim-422	X0049MGH2B	1450432077	Strength Training for Fat Loss	UsedAcceptable	17.95	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
003-DeseretIndust-7.12.24-Jim-625	X004BHTNVV	0393690660	Learning Astronomy by Doing Astronomy	UsedGood	16.00	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
003-DeseretIndust-7.25.24-Jim-204	X004C26QQF	0470599111	People Buy You: The Real Secret to what Matters Most in Business	UsedGood	14.01	No		Yes	0	0	0	0	3	0.02	3	0	0	0	0	0
003-DeseretIndust-8.7.24-Jim-738	X004CL30LZ	1250289424	The Guest: A Novel	UsedGood	12.33	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
003-NPS-8.19.24-Jim-657	X004D4JSJJ	1668003090	Dirty Thirty (30) (Stephanie Plum)	UsedGood	10.98	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
003-NPSAuction-5.28.24-Jim-697	X0049B41CZ	1583712380	History Alive! The Medieval World and Beyond	UsedLikeNew	75.00	No		Yes	3	3	0	0	3	0.06	0	0	0	0	0	0
003-Savers-6.19.24-Jim-429	X004ADMC69	1465419543	Human Anatomy: The Definitive Visual Guide	UsedGood	43.79	No		Yes	1	1	0	0	1	0.08	0	0	0	0	0	0
003-Thrift-5.20.24-Jim-128	X0048YS985	1592286585	As Told at The Explorers Club: More Than Fifty Gripping Tales Of Adventure (Explorers Club Classic)	UsedGood	20.95	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
004-DeseretIndust-5.25.24-Jim-301	X00496W2S5	B000FOHH2K	Illustrated Stories From the Book of Mormon (16 volume set)	UsedGood	177.98	No		Yes	1	1	0	0	1	1.68	0	0	0	0	0	0
004-DeseretIndust-6.12.24-Jim-551	X004A08C8J	0743234723	Bernard Clayton's New Complete Book of Breads	UsedGood	58.74	No		Yes	1	1	0	0	1	0.09	0	0	0	0	0	0
004-DeseretIndust-6.19.24-Jim-898	X004ADM9JJ	1602185069	Practicing Basic Skills in Reading: One-Minute Fluency Builders Series	UsedAcceptable	20.64	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
004-DeseretIndust-6.4.24-Jim-570	X0049MGH6H	1590385845	The Lost 500 Years: What Happened Between the Old And New Testaments	UsedAcceptable	17.37	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
004-DeseretIndust-7.12.24-Jim-904	X004BHYQ09	1250803829	A Flicker in the Dark: A Novel	UsedGood	9.98	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
004-DeseretIndust-7.25.24-Jim-988	X004C26R1T	0951951742	How to Starve Cancer: ...and Then Kill It With Ferroptosis	UsedGood	15.95	No		Yes	0	0	0	0	3	0.04	3	0	0	0	0	0
004-DeseretIndust-8.7.24-Jim-832	X004CL57EX	B0CCK3XKYK	Home Is Where the Bodies Are	UsedGood	17.74	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
004-NPS-5.21.24-Jim-877	X00490NIEX	1782749209	Myths of Ancient Egypt	UsedGood	6.60	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
004-NPS-6.1.24-Jim-239	X0049IC8SH	B0B48MF6CF	Idaho Real Estate Handbook 7th Edition	UsedGood	45.98	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
004-NPS-8.19.24-Jim-124	X004D4WLT3	1668003090	Dirty Thirty (30) (Stephanie Plum)	UsedGood	10.98	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
005-DeseretIndust-5.25.24-Jim-915	X004972BRB	069243318X	The Tiny Potty Training Book: A Simple Guide for Non-coercive Potty Training	UsedGood	23.93	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
005-DeseretIndust-6.12.24-Jim-057	X004A03CNJ	0976824205	Peter Can't Eat Peanuts	UsedGood	22.00	No		Yes	1	1	0	0	1	0.01	0	0	0	0	0	0
005-DeseretIndust-6.19.24-Jim-691	X004ADJZ37	1506287670	AP Human Geography Premium, 2024: 6 Practice Tests + Comprehensive Review + Online Practice (Barron's AP Prep)	UsedGood	24.00	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
005-DeseretIndust-6.26.24-Jim-737	X004AU3BAD	1538719916	The Edge (6:20 Man, 2)	UsedVeryGood	8.93	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
005-DeseretIndust-6.4.24-Jim-973	X0049MGGXB	1590385845	The Lost 500 Years: What Happened Between the Old And New Testaments	UsedGood	17.37	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
005-DeseretIndust-7.12.24-Jim-333	X004BI2OKR	1250888166	Alone with You in the Ether: A Love Story	UsedGood	13.03	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
005-DeseretIndust-7.25.24-Jim-636	X004C26R2N	1958626287	Racing Hearts and Burning Cars	UsedGood	15.96	No		Yes	0	0	0	0	3	0.03	3	0	0	0	0	0
005-DeseretIndust-8.7.24-Jim-298	X004CKQF2H	1491928050	Cooking for Geeks: Real Science, Great Cooks, and Good Food	UsedGood	15.16	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
005-NPS-5.21.24-Jim-937	X00490JV71	1782749209	Myths of Ancient Egypt	UsedVeryGood	6.60	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
005-NPS-6.1.24-Jim-871	X0049IC945	0891349634	Watercolor Basics: Light	UsedAcceptable	26.89	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
005-NPS-8.19.24-Jim-686	X004D4I561	0063320681	Worthy	UsedGood	11.30	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
006-DeseretIndust-5.25.24-Jim-792	X004973YR7	0984080104	The Great Behavior Breakdown	UsedGood	10.99	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
006-DeseretIndust-6.12.24-Jim-762	X0049ZZPDF	1943874727	Growing Tomorrow's Citizens in Today's Classrooms: Assessing Seven Critical Competencies (Teaching Strategies for Soft Skills and 21st-Century-Skills Assessment Methods)	UsedGood	24.19	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
006-DeseretIndust-6.19.24-Jim-914	X004ADHEC1	1338608940	Weather	UsedVeryGood	12.77	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
006-DeseretIndust-6.26.24-Jim-347	X004AU3CHF	0998739952	Eat What You Watch: A Cookbook for Movie Lovers	UsedGood	7.69	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
006-DeseretIndust-6.4.24-Jim-291	X0049M8DLJ	1942154917	Sounding Out the Sight Words: An Alternative to Rote Memorization	UsedGood	29.99	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
006-DeseretIndust-7.12.24-Jim-126	X004BI2D3F	0692569049	From the Restaurants of Park City, A Mountain Town's Cookbook - book one	UsedGood	18.39	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
006-DeseretIndust-7.25.24-Jim-532	X004C28RR1	163609855X	Mary's Calico Hope (The Heart of the Amish)	UsedGood	13.98	No		Yes	1	1	0	0	4	0.02	3	0	0	0	0	0
006-DeseretIndust-8.7.24-Jim-657	X004CKXR4L	1643853864	The Girls Weekend: A Novel	UsedGood	18.91	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
006-NPS-5.21.24-Jim-127	X00490JV8P	1782749209	Myths of Ancient Egypt	UsedVeryGood	6.60	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
